,Station,Depth_m,PAR_irradiance_Einm2-d1,PAR0+_Einm2-d1,Ratio_of_under_ice_PAR_to_surface_PAR,Ratio_of_openwater_PAR_to_surface_PAR,IceConcentration_percent,Sampled_under_ice_or_in_open_water
4551,309.0,0.97,28.994281603584337,37.467648000000004,NaN,0.7738484573033336,0.0,OW
4552,309.0,0.98,28.936789920057667,37.467648000000004,NaN,0.7723140219545583,0.0,OW
4553,309.0,0.99,28.879484072555567,37.467648000000004,NaN,0.7707845465121154,0.0,OW
4554,309.0,1.0,28.82236320494244,37.467648000000004,NaN,0.7692600081260087,0.0,OW
4555,309.0,1.02,28.708673012213854,37.467648000000004,NaN,0.7662256518534029,0.0,OW
4556,309.0,1.04,28.595712599481054,37.467648000000004,NaN,0.763210773184403,0.0,OW
4557,309.0,1.06,28.483475303253584,37.467648000000004,NaN,0.7602151942724983,0.0,OW
4558,309.0,1.08,28.37195453501738,37.467648000000004,NaN,0.757238739272275,0.0,OW
4559,309.0,1.1,28.26114377655395,37.467648000000004,NaN,0.7542812342144867,0.0,OW
4560,309.0,1.12,28.151036577487684,37.467648000000004,NaN,0.7513425069405927,0.0,OW
4561,309.0,1.14,28.041626553463516,37.467648000000004,NaN,0.7484223870541197,0.0,OW
4562,309.0,1.16,27.932907382645304,37.467648000000004,NaN,0.745520705827206,0.0,OW
4563,309.0,1.18,27.824872800917344,37.467648000000004,NaN,0.7426372960725302,0.0,OW
4564,309.0,1.2,27.7175165969369,37.467648000000004,NaN,0.7397719920112653,0.0,OW
4565,309.0,1.22,27.610832608159434,37.467648000000004,NaN,0.7369246291669932,0.0,OW
4566,309.0,1.24,27.504814718686777,37.467648000000004,NaN,0.734095044308273,0.0,OW
4567,309.0,1.26,27.39945685799621,37.467648000000004,NaN,0.7312830754147205,0.0,OW
4568,309.0,1.28,27.29475300088644,37.467648000000004,NaN,0.728488561675567,0.0,OW
4569,309.0,1.3,27.190697168136417,37.467648000000004,NaN,0.7257113435072416,0.0,OW
4570,309.0,1.32,27.087283428322255,37.467648000000004,NaN,0.7229512626018652,0.0,OW
4571,309.0,1.34,26.98450589867041,37.467648000000004,NaN,0.7202081619500217,0.0,OW
4572,309.0,1.36,26.882358747116328,37.467648000000004,NaN,0.7174818858957019,0.0,OW
4573,309.0,1.38,26.780836194610075,37.467648000000004,NaN,0.7147722801978409,0.0,OW
4574,309.0,1.4,26.679932517224554,37.467648000000004,NaN,0.712079192086585,0.0,OW
4575,309.0,1.42,26.579642048637055,37.467648000000004,NaN,0.7094024703295242,0.0,OW
4576,309.0,1.44,26.479959181657854,37.467648000000004,NaN,0.7067419652724892,0.0,OW
4577,309.0,1.46,26.380878369150764,37.467648000000004,NaN,0.7040975288641219,0.0,OW
4578,309.0,1.48,26.282394126632685,37.467648000000004,NaN,0.7014690147252552,0.0,OW
4579,309.0,1.5,26.184501035954867,37.467648000000004,NaN,0.6988562782471658,0.0,OW
4580,309.0,1.52,26.087193747611575,37.467648000000004,NaN,0.6962591766531908,0.0,OW
4581,309.0,1.54,25.990466980674775,37.467648000000004,NaN,0.6936775689969856,0.0,OW
4582,309.0,1.56,25.894315521741262,37.467648000000004,NaN,0.6911113161344223,0.0,OW
4583,309.0,1.58,25.798734224728886,37.467648000000004,NaN,0.6885602807181513,0.0,OW
4584,309.0,1.6,25.703718010735415,37.467648000000004,NaN,0.6860243271938343,0.0,OW
4585,309.0,1.62,25.609261866765237,37.467648000000004,NaN,0.6835033217661604,0.0,OW
4586,309.0,1.64,25.51536084370928,37.467648000000004,NaN,0.6809971323449308,0.0,OW
4587,309.0,1.66,25.422010052484048,37.467648000000004,NaN,0.6785056284420107,0.0,OW
4588,309.0,1.68,25.329204659447342,37.467648000000004,NaN,0.676028681048977,0.0,OW
4589,309.0,1.7,25.236939882883814,37.467648000000004,NaN,0.6735661625433177,0.0,OW
4590,309.0,1.72,25.145210990506893,37.467648000000004,NaN,0.6711179466217599,0.0,OW
4591,309.0,1.74,25.054013297900603,37.467648000000004,NaN,0.6686839082586823,0.0,OW
4592,309.0,1.76,24.963342168403717,37.467648000000004,NaN,0.6662639237030229,0.0,OW
4593,309.0,1.78,24.873193014293854,37.467648000000004,NaN,0.6638578705098822,0.0,OW
4594,309.0,1.8,24.783561299443445,37.467648000000004,NaN,0.6614656276114114,0.0,OW
4595,309.0,1.82,24.69444254211898,37.467648000000004,NaN,0.6590870753915211,0.0,OW
